subregion,year,native_class,pixel_count,area_ha
VOYA,1999,harvest,25235,2271.15
VOYA,1999,insect_disease_defo,418,37.62
VOYA,2000,agriculture,143,12.87
VOYA,2000,beaver,809,72.81
VOYA,2000,blowdown,86,7.74
VOYA,2000,development,217,19.53
VOYA,2000,harvest,52793,4751.37
VOYA,2000,insect_disease_defo,23975,2157.75
VOYA,2000,unknown,48,4.32
VOYA,2001,agriculture,405,36.45
VOYA,2001,beaver,4357,392.13
VOYA,2001,development,358,32.22
VOYA,2001,harvest,32865,2957.85
VOYA,2001,insect_disease_defo,3335,300.15
VOYA,2001,insect_disease_mort,190,17.1
VOYA,2001,unknown,41,3.69
VOYA,2002,agriculture,14,1.26
VOYA,2002,beaver,2440,219.6
VOYA,2002,blowdown,1275,114.75
VOYA,2002,development,163,14.67
VOYA,2002,flooding,14,1.26
VOYA,2002,harvest,29620,2665.8
VOYA,2002,insect_disease_mort,362,32.58
VOYA,2003,agriculture,117,10.53
VOYA,2003,beaver,708,63.72
VOYA,2003,development,372,33.48
VOYA,2003,harvest,46029,4142.61
VOYA,2004,beaver,584,52.56
VOYA,2004,development,582,52.38
VOYA,2004,fire,1709,153.81
VOYA,2004,harvest,39945,3595.05
VOYA,2005,beaver,903,81.27
VOYA,2005,blowdown,156,14.04
VOYA,2005,development,165,14.85
VOYA,2005,fire,753,67.77
VOYA,2005,flooding,95,8.55
VOYA,2005,harvest,35058,3155.22
VOYA,2005,unknown,14,1.26
VOYA,2006,agriculture,192,17.28
VOYA,2006,beaver,239,21.51
VOYA,2006,blowdown,711,63.99
VOYA,2006,development,301,27.09
VOYA,2006,fire,3124,281.16
VOYA,2006,harvest,16988,1528.92
VOYA,2006,insect_disease_defo,539,48.51
VOYA,2007,beaver,282,25.38
VOYA,2007,development,294,26.46
VOYA,2007,fire,10,0.9
VOYA,2007,flooding,39,3.51
VOYA,2007,harvest,22669,2040.21
VOYA,2007,insect_disease_defo,97,8.73
VOYA,2007,insect_disease_mort,63,5.67
VOYA,2007,unknown,18,1.62
VOYA,2008,beaver,319,28.71
VOYA,2008,development,209,18.81
VOYA,2008,harvest,18744,1686.96
VOYA,2009,beaver,714,64.26
VOYA,2009,development,731,65.79
VOYA,2009,flooding,11,0.99
VOYA,2009,harvest,24035,2163.15
VOYA,2009,unknown,24,2.16
VOYA,2010,beaver,799,71.91
VOYA,2010,development,306,27.54
VOYA,2010,flooding,46,4.14
VOYA,2010,harvest,20661,1859.49
VOYA,2011,beaver,485,43.65
VOYA,2011,development,240,21.6
VOYA,2011,fire,42,3.78
VOYA,2011,flooding,113,10.17
VOYA,2011,harvest,25949,2335.41
VOYA,2012,beaver,518,46.62
VOYA,2012,development,185,16.65
VOYA,2012,fire,23,2.07
VOYA,2012,harvest,28924,2603.16
VOYA,2012,insect_disease_mort,865,77.85
VOYA,2013,beaver,164,14.76
VOYA,2013,fire,755,67.95
VOYA,2013,harvest,11074,996.66
