us_l3code,SURVEY_YEA,DCA_COMMON,area_m2
78,2020,unknown,69.58409522168246
78,2020,unknown,62.625078708164516
78,2020,unknown,122.49433924578709
78,2020,unknown,109.88886631894499
78,2020,unknown,112.04202128326992
78,2020,unknown,71.86661586509791
78,2020,unknown,126.44889155041949
78,2020,unknown,314.27658857854345
78,2020,unknown,152.22854697953716
78,2020,unknown,30.853808576742242
78,2020,unknown,54.332149437000616
78,2020,unknown,313.8888372887584
78,2020,unknown,146.28352635794573
78,2020,unknown,76.88511783688476
78,2020,unknown,96.24903428822846
78,2020,unknown,186.96127210506944
78,2020,unknown,58.38261253741107
78,2020,unknown,62.30726594338242
78,2020,unknown,47.89518701403532
78,2020,unknown,24.89655545956133
78,2020,unknown,80.74258187937556
78,2020,unknown,74.45272455393422
1,2020,unknown,64.39092506956504
1,2020,unknown,43.489721844619105
1,2020,unknown,43.35116061564474
1,2020,unknown,48.76227643103243
1,2020,unknown,212.5844878949344
1,2020,unknown,9.230559067933967
1,2020,unknown,52.55660467901692
1,2020,unknown,555.6992159520139
1,2020,unknown,23.735874480990365
1,2020,unknown,29.151484263580386
1,2020,unknown,19.36525971759015
1,2020,unknown,50.35991120553814
1,2020,unknown,89.58985799658271
1,2020,unknown,58.31726198734216
1,2020,unknown,68.92592498482263
1,2020,unknown,870.2551761175666
1,2020,unknown,102.96977614533326
1,2020,unknown,28.654330846615718
1,2020,unknown,89.40030224410474
1,2020,unknown,130.9091651427683
1,2020,unknown,95.60142450414638
1,2020,unknown,235.1268367843226
1,2020,unknown,284.5822042379883
1,2020,unknown,17.776430902316736
1,2020,unknown,104.07223587806783
1,2020,unknown,32.666204660824135
1,2020,unknown,150.42666500270985
1,2020,unknown,315.19897109781397
1,2020,unknown,285.1095421375379
1,2020,unknown,33.442643536013456
1,2020,unknown,17.319250122136417
1,2020,unknown,46.3623290270045
1,2020,unknown,37.17074867455737
1,2020,unknown,504.20118335387286
1,2020,unknown,200.76737041940322
1,2020,unknown,386.89914436807277
1,2020,unknown,424.25088883593514
1,2020,unknown,57.046460385406256
1,2020,unknown,176.6805537435738
1,2020,unknown,31.578365550173192
