subregion,year,native_class,pixel_count,area_ha,spatial_prevalence_pct
SACN,2007,harvest,11082,997.38,86.295
SACN,2007,development,2173,195.57,16.921
SACN,2007,agriculture,216,19.44,1.682
SACN,2007,beaver,30,2.7,0.234
SACN,2007,unknown,22,1.98,0.171
SACN,2008,harvest,13155,1183.95,92.758
SACN,2008,development,987,88.83,6.96
SACN,2008,beaver,87,7.83,0.613
SACN,2008,insect_disease_mort,69,6.21,0.487
SACN,2008,unknown,61,5.49,0.43
SACN,2008,agriculture,38,3.42,0.268
SACN,2009,harvest,13046,1174.14,91.161
SACN,2009,development,903,81.27,6.31
SACN,2009,agriculture,493,44.37,3.445
SACN,2009,beaver,84,7.56,0.587
SACN,2010,harvest,26529,2387.61,95.887
SACN,2010,development,2086,187.74,7.54
SACN,2010,agriculture,375,33.75,1.355
SACN,2010,beaver,167,15.03,0.604
SACN,2010,unknown,160,14.4,0.578
SACN,2010,insect_disease_mort,50,4.5,0.181
SACN,2010,flooding,9,0.81,0.033
SACN,2011,harvest,30550,2749.5,94.767
SACN,2011,development,1265,113.85,3.924
SACN,2011,agriculture,1110,99.9,3.443
SACN,2011,unknown,73,6.57,0.226
SACN,2011,beaver,40,3.6,0.124
SACN,2011,flooding,22,1.98,0.068
SACN,2012,harvest,16400,1476.0,82.586
SACN,2012,development,2779,250.11,13.994
SACN,2012,agriculture,604,54.36,3.042
SACN,2012,beaver,178,16.02,0.896
SACN,2012,unknown,132,11.88,0.665
SACN,2012,flooding,13,1.17,0.065
SACN,2013,harvest,11620,1045.8,87.665
SACN,2013,development,992,89.28,7.484
SACN,2013,agriculture,687,61.83,5.183
SACN,2013,beaver,71,6.39,0.536
SACN,2013,unknown,9,0.81,0.068
SACN,2014,harvest,10724,965.16,86.933
SACN,2014,development,1223,110.07,9.914
SACN,2014,beaver,203,18.27,1.646
SACN,2014,unknown,201,18.09,1.629
SACN,2014,agriculture,39,3.51,0.316
SACN,2014,insect_disease_mort,13,1.17,0.105
SACN,2015,harvest,11736,1056.24,91.111
SACN,2015,development,1714,154.26,13.306
SACN,2015,unknown,100,9.0,0.776
SACN,2015,insect_disease_mort,79,7.11,0.613
SACN,2015,agriculture,61,5.49,0.474
SACN,2015,beaver,36,3.24,0.279
SACN,2015,flooding,12,1.08,0.093
SACN,2016,harvest,7875,708.75,78.609
SACN,2016,development,1771,159.39,17.678
